624530-99999,+30.450,+033.767,+0255.0,20040115,20161031
025530-99999,+58.083,+013.783,+0220.0,20010701,20160421
366610-99999,+47.800,+084.300,+0386.0,19600201,19631231
729650-99999,+63.617,-135.867,+0504.0,19730101,19770630
488830-99999,+11.567,+108.067,+0972.0,19491213,19610521
722235-99999,+30.617,-088.067,+0008.0,20000101,20031231
722367-00363,+38.783,-093.800,+0243.2,20150528,20160919
037160-99999,+51.405,-003.436,+0049.7,20010706,20170522
378530-99999,+40.500,+049.983,-0005.0,19460101,20080414
442301-99999,+49.950,+102.600,+1070.0,19730102,19821124
682903-99999,-30.562,+025.528,+1272.8,20150511,20150511
956220-99999,-33.567,+115.817,+0063.0,20010916,20170522
450390-99999,+22.400,+114.200,+0008.0,20040713,20170522
720733-99999,+29.724,-098.695,+0422.1,20100511,20130430
723755-03103,+35.144,-111.666,+2139.1,19480101,20041231
714833-99999,+48.583,-123.583,+0275.0,19910321,19950414
121070-99999,+54.283,+016.117,-0999.0,19350718,20010804
034990-99999,+52.717,+002.300,+0005.0,19730101,19820913
381080-99999,+44.217,+073.800,+0504.0,20020519,20051013
067870-99999,+46.617,+009.433,+0989.0,20010811,20170522
476180-99999,+36.250,+137.967,+0611.6,19730101,20170522
529430-99999,+35.750,+099.983,+3200.0,19600601,20020923
544860-99999,+40.467,+123.967,+0126.0,19570601,19590831
040970-99999,+65.267,-013.583,+0011.0,19310103,20170522
955550-99999,-28.217,+152.017,+0477.0,19900201,20100210
434040-99999,+09.650,+080.017,+0003.0,20010820,20170522
285410-99999,+56.083,+060.300,+0399.0,19590101,20170522
013500-99999,+60.600,+007.533,+1208.0,20030330,20170519
105360-99999,+50.550,+009.650,+0305.0,19600908,20021225
331870-99999,+50.700,+025.500,+0232.0,19310105,20160614
014930-99999,+59.283,+011.117,+0057.0,20040510,20170522
958840-99999,-38.483,+146.317,+0183.0,19611231,19980225
010015-99999,+61.383,+005.867,+0327.0,19870117,20111020
466990-99999,+23.983,+121.600,+0019.0,19730101,19981231
716094-99999,+45.067,-066.467,+0001.0,19911106,19950605
688350-99999,-33.767,+024.817,+0085.0,19980301,20170522
672230-99999,-13.133,+039.033,+0535.0,19730101,20170512
225500-99999,+64.600,+040.717,+0018.9,19310104,20170522
308110-99999,+51.733,+102.533,+0721.0,19530216,20060426
275770-99999,+55.533,+045.500,+0125.0,19640303,20170522
946950-99999,-31.567,+143.367,+0075.0,19561231,20150110
405840-99999,+29.067,+048.150,+0016.0,20010709,20010709
868450-99999,-21.983,-047.883,+0864.5,20160704,20170522
023321-99999,+57.150,+015.667,+0115.0,20160726,20170522
997246-99999,+58.200,+000.017,+0000.0,20050202,20130430
022861-99999,+61.267,+017.100,+0036.0,20040706,20120103
116030-99999,+50.767,+015.017,+0401.5,19370302,20170522
726656-99999,+47.733,-122.717,+0000.0,19850118,19850130
357390-99999,+46.717,+059.167,+0114.0,19570710,20020319
370170-99999,+44.283,+039.267,+0323.0,19610907,20050915
128050-99999,+47.683,+016.600,+0239.0,19360601,20170522
588520-99999,+26.917,+120.383,+0305.0,19570601,20020919
959350-99999,-36.217,+150.133,+0025.0,19930501,20170522
276120-99999,+55.833,+037.617,+0200.0,19320101,20170425
720593-00187,+41.333,-086.667,+0208.2,20150908,20170510
867740-99999,-18.417,-049.200,+0489.5,20160704,20170522
725063-14756,+41.253,-070.061,+0014.3,19900314,20120801
945952-99999,-20.358,+148.952,+0004.6,20040706,20170522
832490-99999,-12.283,-038.550,+0132.0,19900507,20100428
994015-99999,+48.547,-123.010,+0002.0,20050419,20170522
802340-99999,+04.168,-073.614,+0424.9,19500101,20170522
724464-99999,+39.817,-093.583,+0234.0,19990114,20051231
867960-99999,-19.600,-046.933,+1021.5,20160704,20170522
407825-99999,+38.317,+048.417,+1348.0,20040511,20170522
702312-26519,+62.540,-153.617,+0321.0,19970402,19991231
428300-99999,+21.650,+069.667,+0005.0,19730101,20170522
995610-99999,+28.300,-015.200,+0000.0,19940827,20080312
624670-99999,+28.483,+034.500,+0019.0,20040222,20170206
418500-99999,+26.350,+088.600,+0055.0,20160217,20170522
544930-99999,+40.717,+124.783,+0261.0,19560820,20170522
836520-99999,-21.134,-047.774,+0549.2,20090813,20170522
013710-99999,+61.117,+009.067,+0521.0,19730101,20170522
349150-99999,+45.317,+037.383,+0002.0,19590903,20081121
579160-99999,+25.433,+106.767,+0441.0,19560820,20170522
471511-99999,+35.583,+129.350,+0010.0,19810811,19831206
722520-12920,+27.550,-099.467,+0155.0,19650301,19991231
999999-40710,+07.065,+171.272,+0003.1,19550131,20170331
691464-99999,+40.869,+141.378,+0005.2,19550310,20150225
835500-99999,-18.700,-039.850,+0025.0,19360824,20170522
868720-99999,-22.750,-045.600,+1581.5,20160704,20170522
570510-99999,+34.833,+110.167,+0332.0,19570616,19590831
749293-99999,+34.849,+048.533,+1727.0,19440928,19450814
712390-99999,+49.550,-099.067,+0374.0,19931015,20170522
718601-99999,+50.017,-100.317,+0473.0,19550702,19831031
429630-99999,+20.700,+083.500,+0190.0,20020418,20170323
834230-99999,-16.667,-049.250,+0741.0,19380510,20170522
650150-99999,+12.172,+006.696,+0463.3,19730102,20170521
726525-99999,+42.917,-097.383,+0398.0,19730101,20051231
702653-99999,+64.650,-147.067,+0167.0,19750814,19750814
720613-99999,+33.829,-079.122,+0010.4,20090601,20170522
762055-99999,+27.300,-112.283,+0103.0,19730101,19760806
411945-99999,+24.886,+055.172,+0018.9,20100518,20170522
781200-99999,+20.950,-073.650,+0003.0,20070226,20070227
484580-99999,+13.567,+101.454,+0070.2,20070705,20170522
612690-99999,+13.467,-009.883,+0177.0,19490403,19521231
022790-99999,+59.867,+011.967,+0130.0,19730101,19770630
023300-99999,+62.750,+015.100,+0342.0,19740627,20051008
712940-99999,+45.067,-077.867,+0331.0,20010916,20170522
714980-99999,+50.933,-112.933,+0907.0,19901104,20170522
997400-99999,+14.980,-074.980,+0003.0,20050719,20170522
121053-99999,+52.000,+019.150,+0150.0,19880421,20170522
749006-99999,+52.133,+001.100,+0058.0,19440601,19450630
726087-99999,+43.620,-070.200,+0023.0,19780211,19890523
152890-99999,+45.383,+021.133,+0083.0,19730105,20170522
960110-99999,+05.524,+095.420,+0019.8,19600201,20170522
062691-99999,+56.400,+002.067,+0034.0,20040510,20060303
725786-99999,+42.167,-112.297,+1373.0,20000101,20041231
728660-99999,+52.167,-106.683,+0500.0,19730101,19770630
325240-99999,+53.467,+156.033,+0007.9,19480101,19710630
725513-04901,+40.893,-097.997,+0548.3,20060101,20170523
423140-99999,+27.484,+095.017,+0110.3,19420714,20170522
999999-33126,+37.400,+014.917,+0031.1,19600311,19781231
683460-99999,-27.998,+026.670,+1340.8,19730101,20030730
412530-99999,+23.417,+057.433,+0322.0,20010712,20170522
